Year,Box_Office_Rank,Name, Worldwide , Domestic , Foreign 
1999,1,Star Wars: Episode I - The Phantom Menace,"$924,305,084.00 ","$431,088,295.00 ","$493,216,789.00 "
1999,2,The Sixth Sense,"$672,806,292.00 ","$293,506,292.00 ","$379,300,000.00 "
1999,3,Toy Story 2,"$487,059,677.00 ","$245,852,179.00 ","$241,207,498.00 "
1999,4,The Matrix,"$463,517,383.00 ","$171,479,930.00 ","$292,037,453.00 "
1999,5,Tarzan,"$448,191,819.00 ","$171,091,819.00 ","$277,100,000.00 "
1999,6,Notting Hill,"$363,889,678.00 ","$116,089,678.00 ","$247,800,000.00 "
1999,7,American Beauty,"$356,296,601.00 ","$130,096,601.00 ","$226,200,000.00 "
1999,8,Runaway Bride,"$309,460,292.00 ","$152,257,509.00 ","$157,202,783.00 "
1999,9,Stuart Little,"$300,135,367.00 ","$140,035,367.00 ","$160,100,000.00 "
1999,10,The Green Mile,"$286,801,374.00 ","$136,801,374.00 ","$150,000,000.00 "
1999,11,The Blair Witch Project,"$248,639,099.00 ","$140,539,099.00 ","$108,100,000.00 "
1999,12,American Pie,"$235,483,004.00 ","$102,561,004.00 ","$132,922,000.00 "
1999,13,Big Daddy,"$234,801,895.00 ","$163,479,795.00 ","$71,322,100.00 "
1999,14,Wild Wild West,"$222,104,681.00 ","$113,804,681.00 ","$108,300,000.00 "
1999,15,Entrapment,"$212,404,396.00 ","$87,704,396.00 ","$124,700,000.00 "
1999,16,End of Days,"$211,989,043.00 ","$66,889,043.00 ","$145,100,000.00 "
1999,17,Austin Powers: The Spy Who Shagged Me,"$206,756,403.00 ","$206,040,086.00 ","$715,970.00 "
1999,18,Sleepy Hollow,"$206,071,502.00 ","$101,071,502.00 ","$105,000,000.00 "
1999,19,Double Jeopardy,"$177,841,558.00 ","$116,741,558.00 ","$61,100,000.00 "
1999,20,The Haunting,"$177,311,151.00 ","$91,411,151.00 ","$85,900,000.00 "
1999,21,Analyze This,"$176,885,658.00 ","$106,885,658.00 ","$70,000,000.00 "
1999,22,Deep Blue Sea,"$164,648,142.00 ","$73,648,142.00 ","$91,000,000.00 "
1999,23,Pokémon: The First Movie - Mewtwo Strikes Back,"$163,644,662.00 ","$85,744,662.00 ","$77,900,000.00 "
1999,24,Eyes Wide Shut,"$162,091,208.00 ","$55,691,208.00 ","$106,400,000.00 "
1999,25,Payback,"$161,626,121.00 ","$81,526,121.00 ","$80,100,000.00 "
1999,26,Princess Mononoke,"$159,414,369.00 ","$2,375,308.00 ","$157,039,061.00 "
1999,27,The Mummy,"$155,700,124.00 ","$155,516,138.00 ","$177,949.00 "
1999,28,The Bone Collector,"$151,493,655.00 ","$66,518,655.00 ","$84,975,000.00 "
1999,29,The General's Daughter,"$149,705,852.00 ","$102,705,852.00 ","$47,000,000.00 "
1999,30,Inspector Gadget,"$134,403,112.00 ","$97,403,112.00 ","$37,000,000.00 "
1999,31,The Talented Mr. Ripley,"$128,798,265.00 ","$81,298,265.00 ","$47,500,000.00 "
1999,32,The World Is Not Enough,"$126,943,746.00 ","$126,943,684.00 ", - 
1999,33,The Thomas Crown Affair,"$124,305,181.00 ","$69,305,181.00 ","$55,000,000.00 "
