Year,Box_Office_Rank,Name,  Worldwide  ,  Domestic  ,Foreign
1987,1,Three Men and a Baby,"$167,780,960 ","$167,780,960 ",-
1987,2,Fatal Attraction,"$156,645,756 ","$156,645,693 ",-
1987,3,Beverly Hills Cop II,"$153,665,036 ","$153,665,036 ",-
1987,4,"Good Morning, Vietnam","$123,922,794 ","$123,922,370 ",$208 
1987,5,Moonstruck,"$80,643,047 ","$80,640,528 ",-
1987,6,The Untouchables,"$76,270,454 ","$76,270,454 ",-
1987,7,The Secret of My Success,"$66,995,879 ","$66,995,879 ",-
1987,8,Stakeout,"$65,673,233 ","$65,673,233 ",-
1987,9,Lethal Weapon,"$65,207,187 ","$65,207,127 ",-
1987,10,The Witches of Eastwick,"$63,766,510 ","$63,766,510 ",-
1987,11,Dirty Dancing,"$63,500,285 ","$63,446,382 ",-
1987,12,Predator,"$59,742,555 ","$59,735,548 ",-
1987,13,Throw Momma from the Train,"$57,915,972 ","$57,915,972 ",-
1987,14,Dragnet,"$57,387,516 ","$57,387,516 ",-
1987,15,La Bamba,"$54,215,416 ","$54,215,416 ",-
1987,16,RoboCop,"$53,427,454 ","$53,424,681 ",-
1987,17,Outrageous Fortune,"$52,864,741 ","$52,864,741 ",-
1987,18,Broadcast News,"$51,249,461 ","$51,249,404 ",$57 
1987,19,The Living Daylights,"$51,186,196 ","$51,185,897 ",-
1987,20,Eddie Murphy: Raw,"$50,505,289 ","$50,504,655 ",-
1987,21,Full Metal Jacket,"$50,192,679 ","$46,357,676 ","$3,825,611 "
1987,22,"Planes, Trains & Automobiles","$49,530,280 ","$49,530,280 ",-
1987,23,Snow White and the Seven Dwarfs 1987 Re-release,"$46,594,212 ","$46,594,212 ",-
1987,24,A Nightmare on Elm Street 3: Dream Warriors,"$44,793,222 ","$44,793,222 ",-
1987,25,The Last Emperor,"$43,985,340 ","$43,984,230 ",-
1987,26,Wall Street,"$43,848,069 ","$43,848,069 ",-
1987,27,Mannequin,"$42,721,196 ","$42,721,196 ",-
1987,28,Roxanne,"$40,050,884 ","$40,050,884 ",-
1987,29,Blind Date,"$39,321,715 ","$39,321,715 ",-
1987,30,The Running Man,"$38,123,906 ","$38,122,105 ",-
1987,31,Spaceballs,"$38,120,460 ","$38,119,483 ",-
1987,32,Summer School,"$35,659,098 ","$35,659,098 ",-
1987,33,No Way Out,"$35,509,515 ","$35,509,515 ",-
1987,34,Like Father Like Son,"$34,377,585 ","$34,377,585 ",-
1987,35,Adventures in Babysitting,"$34,368,475 ","$34,368,475 ",-
1987,36,Cinderella 1987 Re-release,"$34,101,149 ","$34,101,149 ",-
1987,37,*batteries not included,"$32,945,797 ","$32,945,797 ",-
1987,38,The Lost Boys,"$32,242,239 ","$32,222,567 ",-
1987,39,Can't Buy Me Love,"$31,623,833 ","$31,623,833 ",-
1987,40,Nuts,"$30,950,002 ","$30,950,002 ",-
1987,41,The Princess Bride,"$30,927,927 ","$30,857,814 ",-
1987,42,Superman IV: The Quest for Peace,"$30,281,020 ","$15,681,020 ","$14,600,000 "
1987,43,Revenge of the Nerds II: Nerds in Paradise,"$30,063,289 ","$30,063,289 ",-
1987,44,Harry and the Hendersons,"$29,760,613 ","$29,760,613 ",-
1987,45,Police Academy 4: Citizens on Patrol,"$28,061,343 ","$28,061,343 ",-
1987,46,Overboard,"$26,713,187 ","$26,713,187 ",-
1987,47,Baby Boom,"$26,712,476 ","$26,712,476 ",-
1987,48,Innerspace,"$25,893,810 ","$25,893,810 ",-
1987,49,Tin Men,"$25,411,386 ","$25,411,386 ",-
1987,50,Black Widow,"$25,205,460 ","$25,205,460 ",-
1987,51,Ernest Goes to Camp,"$23,509,382 ","$23,509,382 ",-
1987,52,Raising Arizona,"$22,848,609 ","$22,847,564 ",-
1987,53,Benji the Hunted,"$22,257,624 ","$22,257,624 ",-
1987,54,Empire of the Sun,"$22,238,696 ","$22,238,696 ",-
1987,55,Jaws: The Revenge,"$20,763,013 ","$20,763,013 ",-
1987,56,Hello Again,"$20,419,446 ","$20,419,446 ",-
1987,57,Critical Condition,"$20,240,502 ","$20,240,502 ",-
1987,58,The Principal,"$19,734,940 ","$19,734,940 ",-
1987,59,Suspect,"$18,782,400 ","$18,782,400 ",-
1987,60,The Believers,"$18,753,438 ","$18,753,438 ",-
