Year,Box_Office_Rank,Name,   Worldwide   ,   Domestic   ,   Foreign   
2000,1,Mission: Impossible II," $546,388,108.00 "," $215,409,889.00 "," $330,978,219.00 "
2000,2,Gladiator," $460,583,960.00 "," $187,705,427.00 "," $272,878,533.00 "
2000,3,Cast Away," $429,632,142.00 "," $233,632,142.00 "," $196,000,000.00 "
2000,4,What Women Want," $374,111,707.00 "," $182,811,707.00 "," $191,300,000.00 "
2000,5,Dinosaur," $349,822,765.00 "," $137,748,063.00 "," $212,074,702.00 "
2000,6,How the Grinch Stole Christmas," $345,141,403.00 "," $260,044,825.00 "," $85,096,578.00 "
2000,7,Meet the Parents," $330,444,045.00 "," $166,244,045.00 "," $164,200,000.00 "
2000,8,The Perfect Storm," $328,718,434.00 "," $182,618,434.00 "," $146,100,000.00 "
2000,9,X-Men," $296,339,528.00 "," $157,299,718.00 "," $139,039,810.00 "
2000,10,What Lies Beneath," $291,420,351.00 "," $155,464,351.00 "," $135,956,000.00 "
2000,11,Scary Movie," $278,019,771.00 "," $157,019,771.00 "," $121,000,000.00 "
2000,12,Charlie's Angels," $264,105,545.00 "," $125,305,545.00 "," $138,800,000.00 "
2000,13,Erin Brockovich," $256,271,286.00 "," $125,595,205.00 "," $130,676,081.00 "
2000,14,Unbreakable," $248,118,121.00 "," $95,011,339.00 "," $153,106,782.00 "
2000,15,Gone in 60 Seconds," $237,202,299.00 "," $101,648,571.00 "," $135,553,728.00 "
2000,16,Chicken Run," $224,834,564.00 "," $106,834,564.00 "," $118,000,000.00 "
2000,17,Vertical Limit," $215,663,859.00 "," $69,243,859.00 "," $146,420,000.00 "
2000,18,The Patriot," $215,294,342.00 "," $113,330,342.00 "," $101,964,000.00 "
2000,19,"Crouching Tiger, Hidden Dragon"," $213,525,736.00 "," $128,078,872.00 "," $85,446,864.00 "
2000,20,Miss Congeniality," $212,742,720.00 "," $106,807,667.00 "," $105,935,053.00 "
2000,21,Traffic," $207,515,725.00 "," $124,115,725.00 "," $83,400,000.00 "
2000,22,Hollow Man," $190,213,455.00 "," $73,209,340.00 "," $117,004,115.00 "
2000,23,102 Dalmatians," $183,611,771.00 "," $66,957,026.00 "," $116,654,745.00 "
2000,24,Big Momma's House," $173,959,438.00 "," $117,559,438.00 "," $56,400,000.00 "
2000,25,The Emperor's New Groove," $169,327,687.00 "," $89,302,687.00 "," $80,025,000.00 "
2000,26,Nutty Professor II: The Klumps," $166,339,890.00 "," $123,309,890.00 "," $43,030,000.00 "
2000,27,Scream 3," $161,834,276.00 "," $89,143,175.00 "," $72,691,101.00 "
2000,28,Chocolat," $152,699,946.00 "," $71,509,363.00 "," $81,190,583.00 "
2000,29,"Me, Myself & Irene"," $149,270,999.00 "," $90,570,999.00 "," $58,700,000.00 "
2000,30,The Beach," $144,056,873.00 "," $39,785,027.00 "," $104,271,846.00 "
2000,31,Remember the Titans," $136,706,683.00 "," $115,654,751.00 "," $21,051,932.00 "
2000,32,Pokémon the Movie 2000," $133,949,270.00 "," $43,758,684.00 "," $90,190,586.00 "
2000,33,Space Cowboys," $128,884,132.00 "," $90,464,773.00 "," $38,419,359.00 "
2000,34,U-571," $127,666,415.00 "," $77,122,415.00 "," $50,544,000.00 "
2000,35,The Family Man," $124,745,083.00 "," $75,793,305.00 "," $48,951,778.00 "
2000,36,Road Trip," $119,754,278.00 "," $68,540,777.00 "," $51,213,501.00 "
2000,37,Coyote Ugly," $113,916,474.00 "," $60,786,269.00 "," $53,130,205.00 "
2000,38,Final Destination," $112,880,294.00 "," $53,331,147.00 "," $59,549,147.00 "
2000,39,The Exorcist 2000 Director's Cut," $112,053,066.00 "," $39,671,011.00 "," $72,382,055.00 "
2000,40,Mission to Mars," $110,983,407.00 "," $60,883,407.00 "," $50,100,000.00 "
2000,41,The Kid," $110,317,580.00 "," $69,691,949.00 "," $40,625,631.00 "
2000,42,Billy Elliot," $109,280,263.00 "," $21,995,263.00 "," $87,285,000.00 "
2000,43,Shaft," $107,196,498.00 "," $70,334,258.00 "," $36,862,240.00 "
2000,44,The Whole Nine Yards," $106,371,651.00 "," $57,262,492.00 "," $49,109,159.00 "
2000,45,The Cell," $104,155,843.00 "," $61,334,059.00 "," $42,821,784.00 "
2000,46,Rugrats in Paris," $103,291,131.00 "," $76,507,756.00 "," $26,783,375.00 "
2000,47,Shanghai Noon," $99,274,467.00 "," $56,937,502.00 "," $42,336,965.00 "
2000,48,The Tigger Movie," $96,159,800.00 "," $45,554,533.00 "," $50,605,267.00 "
2000,49,The 6th Day," $96,085,477.00 "," $34,604,280.00 "," $61,481,197.00 "
2000,50,Romeo Must Die," $91,036,760.00 "," $55,973,336.00 "," $35,063,424.00 "
2000,51,Fantasia 2000," $90,874,570.00 "," $60,655,420.00 "," $30,219,150.00 "
2000,52,Autumn in New York," $90,726,668.00 "," $37,761,915.00 "," $52,964,753.00 "
2000,53,Bring It On," $90,449,929.00 "," $68,379,000.00 "," $22,070,929.00 "
2000,54,Bedazzled," $90,383,208.00 "," $37,886,980.00 "," $52,496,228.00 "
2000,55,Snatch," $83,557,872.00 "," $30,328,156.00 "," $53,229,716.00 "
2000,56,Men of Honor," $82,343,495.00 "," $48,818,921.00 "," $33,524,574.00 "
2000,57,Finding Forrester," $80,049,764.00 "," $51,804,714.00 "," $28,245,050.00 "
2000,58,The Road to El Dorado," $76,432,727.00 "," $50,863,742.00 "," $25,568,985.00 "
2000,59,"Dude, Where's My Car?"," $73,180,723.00 "," $46,729,800.00 "," $26,450,923.00 "
2000,60,"O Brother, Where Art Thou?"," $71,868,327.00 "," $45,512,588.00 "," $26,355,739.00 "
2000,61,Rules of Engagement," $71,732,303.00 "," $61,335,230.00 "," $10,397,073.00 "
2000,62,Frequency," $68,106,245.00 "," $45,010,278.00 "," $23,095,967.00 "
2000,63,Thirteen Days," $66,579,890.00 "," $34,592,089.00 "," $31,987,801.00 "
2000,64,Proof of Life," $62,761,005.00 "," $32,598,931.00 "," $30,162,074.00 "
2000,65,Snow Day," $62,464,731.00 "," $60,020,107.00 "," $2,444,624.00 "
2000,66,28 Days," $62,198,945.00 "," $37,170,488.00 "," $25,028,457.00 "
2000,67,Taxi 2," $60,726,164.00 "," $626,164.00 "," $60,100,000.00 "
2000,68,Keeping the Faith," $59,945,183.00 "," $37,047,880.00 "," $22,897,303.00 "
2000,69,Next Friday," $59,827,328.00 "," $57,328,603.00 "," $2,498,725.00 "
2000,70,The Flintstones in Viva Rock Vegas," $59,468,275.00 "," $35,268,275.00 "," $24,200,000.00 "
2000,71,Little Nicky," $58,292,295.00 "," $39,464,775.00 "," $18,827,520.00 "
2000,72,Pay It Forward," $55,707,411.00 "," $33,519,628.00 "," $22,187,783.00 "
2000,73,Bounce," $53,425,292.00 "," $36,805,288.00 "," $16,620,004.00 "
2000,74,Pitch Black," $53,187,659.00 "," $39,240,659.00 "," $13,947,000.00 "
2000,75,Hanging Up," $51,880,044.00 "," $36,050,230.00 "," $15,829,814.00 "
2000,76,The Skulls," $50,802,120.00 "," $35,046,120.00 "," $15,756,000.00 "
2000,77,The Replacements," $50,054,511.00 "," $44,737,059.00 "," $5,317,452.00 "
2000,78,Book of Shadows: Blair Witch 2," $47,737,094.00 "," $26,437,094.00 "," $21,300,000.00 "
2000,79,Almost Famous," $47,383,689.00 "," $32,534,850.00 "," $14,848,839.00 "
2000,80,The Watcher," $47,267,829.00 "," $28,946,615.00 "," $18,321,214.00 "
2000,81,High Fidelity," $47,126,295.00 "," $27,287,137.00 "," $19,839,158.00 "
2000,82,Dracula 2000," $47,053,625.00 "," $33,022,767.00 "," $14,030,858.00 "
2000,83,The Gift," $44,567,606.00 "," $12,008,642.00 "," $32,558,964.00 "
2000,84,Where the Heart Is," $40,863,718.00 "," $33,772,838.00 "," $7,090,880.00 "
2000,85,Bless the Child," $40,443,010.00 "," $29,381,494.00 "," $11,061,516.00 "
2000,86,The Art of War," $40,400,425.00 "," $30,208,599.00 "," $10,191,826.00 "
2000,87,Dancer in the Dark," $40,031,879.00 "," $4,184,036.00 "," $35,847,843.00 "
2000,88,The Legend of Bagger Vance," $39,459,427.00 "," $30,919,168.00 "," $8,540,259.00 "
2000,89,Urban Legends: Final Cut," $38,574,362.00 "," $21,468,807.00 "," $17,105,555.00 "
2000,90,The Original Kings of Comedy," $38,182,790.00 "," $38,182,790.00 ",
2000,91,Titan A.E.," $36,754,634.00 "," $22,753,426.00 "," $14,001,208.00 "
2000,92,Return to Me," $36,609,995.00 "," $32,722,798.00 "," $3,887,197.00 "
2000,93,My Dog Skip," $35,547,761.00 "," $34,134,641.00 "," $1,413,120.00 "
2000,94,The Adventures of Rocky & Bullwinkle," $35,134,820.00 "," $26,005,820.00 "," $9,129,000.00 "
2000,95,American Psycho," $34,266,564.00 "," $15,070,285.00 "," $19,196,279.00 "
2000,96,Dungeons & Dragons," $33,978,694.00 "," $15,391,970.00 "," $18,586,724.00 "
2000,97,Red Planet," $33,463,969.00 "," $17,480,890.00 "," $15,983,079.00 "
2000,98,Wonder Boys," $33,426,588.00 "," $19,393,557.00 "," $14,033,031.00 "
2000,99,Reindeer Games," $32,168,970.00 "," $23,368,995.00 "," $8,799,975.00 "
2000,100,Lost Souls," $31,355,910.00 "," $16,815,253.00 "," $14,540,657.00 "
2000,101,Small Time Crooks," $29,934,477.00 "," $17,266,359.00 "," $12,668,118.00 "
2000,102,Battlefield Earth," $29,725,663.00 "," $21,471,685.00 "," $8,253,978.00 "
2000,103,Nurse Betty," $29,360,400.00 "," $25,170,054.00 "," $4,190,346.00 "
2000,104,Boiler Room," $28,780,255.00 "," $16,970,581.00 "," $11,809,674.00 "
2000,105,The Little Vampire," $27,965,865.00 "," $13,572,400.00 "," $14,393,465.00 "
2000,106,Love & Basketball," $27,728,118.00 "," $27,459,615.00 "," $268,503.00 "
2000,107,Cirque du Soleil: Journey of Man," $27,538,359.00 "," $15,627,434.00 "," $11,910,925.00 "
