Name,Year,Rating
(500) Days of Summer,2009,5
¡Three Amigos!,1986,3
10 Cloverfield Lane,2016,4
10 Things I Hate About You,1999,4.5
12 Angry Men,1957,4.5
12 Years a Slave,2013,NULL
127 Hours,2010,4
12th Fail,2023,NULL
13 Assassins,2010,4
13 Going on 30,2004,NULL
17 Again,2009,3
1917,2019,4.5
2 Fast 2 Furious,2003,2
2 Guns,2013,3
2001: A Space Odyssey,1968,3.5
21,2008,3
21 Bridges,2019,2.5
21 Jump Street,2012,3.5
22 Jump Street,2014,3.5
28 Days Later,2002,3.5
3 Idiots,2009,4
300,2006,3.5
"4 Months, 3 Weeks and 2 Days",2007,NULL
42,2013,3.5
50 First Dates,2004,3.5
50/50,2011,4.5
8 Mile,2002,3.5
8½,1963,NULL
A Beautiful Day in the Neighborhood,2019,3.5
A Beautiful Mind,2001,4.5
A Brighter Summer Day,1991,NULL
A Bug's Life,1998,3.5
A Christmas Carol,2009,3
A Clockwork Orange,1971,4.5
A Few Good Men,1992,4
A Haunting in Venice,2023,2.5
A Knight's Tale,2001,3.5
A Man Called Otto,2022,4
A Man Escaped,1956,NULL
A Matter of Life and Death,1946,NULL
A Minecraft Movie,2025,2.5
A Nightmare on Elm Street,1984,3.5
A Perfect Murder,1998,3
A Quiet Place,2018,4
A Quiet Place Part II,2020,3.5
A Real Pain,2024,4
A Separation,2011,NULL
A Silent Voice: The Movie,2016,NULL
A Simple Favor,2018,3.5
A Simple Plan,1998,4
A Special Day,1977,NULL
A Star Is Born,2018,3.5
A Woman Under the Influence,1974,NULL
Abigail,2024,2.5
About Time,2013,4
Ace in the Hole,1951,NULL
Addams Family Values,1993,4
Aftersun,2022,4.5
Air,2023,4
Airplane!,1980,3.5
Akira,1988,NULL
Aladdin,1992,4
Aladdin,2019,3
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,3
Alice in Wonderland,1951,3
Alice in Wonderland,2010,3
Alien,1979,4.5
Alien: Covenant,2017,3
Alien: Romulus,2024,4
Aliens,1986,4.5
Alita: Battle Angel,2019,3
All About Eve,1950,NULL
All About Lily Chou-Chou,2001,NULL
All of Us Strangers,2023,4
All Quiet on the Western Front,2022,NULL
All That Jazz,1979,NULL
All the President's Men,1976,4
Allegiant,2016,2
Almost Famous,2000,3.5
Alvin and the Chipmunks,2007,2.5
Alvin and the Chipmunks: Chipwrecked,2011,1
Alvin and the Chipmunks: The Road Chip,2015,1.5
Alvin and the Chipmunks: The Squeakquel,2009,2
Amadeus,1984,4.5
Amélie,2001,4
American Beauty,1999,4
American Fiction,2023,3.5
American Gangster,2007,4
American History X,1998,4.5
American Hustle,2013,3
American Psycho,2000,3.5
An Autumn Afternoon,1962,NULL
An Elephant Sitting Still,2018,NULL
Anastasia,1997,3
Anatomy of a Fall,2023,4
Anatomy of a Murder,1959,3.5
Anchorman: The Legend of Ron Burgundy,2004,3.5
Andrei Rublev,1966,NULL
Annie,1982,2.5
Annihilation,2018,4
Anora,2024,4
Another Round,2020,4
Ant-Man,2015,3.5
Ant-Man and the Wasp,2018,2.5
Ant-Man and the Wasp: Quantumania,2023,2
Anyone But You,2023,3.5
Aparajito,1956,NULL
Apocalypse Now,1979,4.5
Apocalypto,2006,4.5
Apollo 13,1995,3.5
Apur Sansar,1959,NULL
Aquaman,2018,2.5
Argo,2012,3.5
Army of Shadows,1969,NULL
Arrival,2016,5
As Good as It Gets,1997,3.5
Asteroid City,2023,NULL
Atlantis: The Lost Empire,2001,3.5
Atonement,2007,3.5
Autumn Sonata,1978,NULL
Avatar,2009,4
Avatar: The Way of Water,2022,4
Avengers: Age of Ultron,2015,3
Avengers: Endgame,2019,4.5
Avengers: Infinity War,2018,5
Azur & Asmar: The Princes' Quest,2006,NULL
Baby Driver,2017,4.5
Babylon,2022,NULL
Back to the Future,1985,5
Back to the Future Part II,1989,3.5
Back to the Future Part III,1990,3
Bad Boys,1995,3
Bad Boys II,2003,3
Bad Times at the El Royale,2018,3.5
Ballerina,2025,4
Bambi,1942,3
Bao,2018,3.5
Barbarian,2022,3.5
Barbie,2023,4
Barry Lyndon,1975,NULL
Batman Begins,2005,4
Batman v Superman: Dawn of Justice,2016,3
Beautiful Boy,2018,NULL
Beauty and the Beast,1991,4
Beauty and the Beast,2017,3
Bedtime Stories,2008,2.5
Bee Movie,2007,2
BEEF,2023,4.5
Beetlejuice,1988,NULL
Beetlejuice Beetlejuice,2024,NULL
Before Sunrise,1995,NULL
Before Sunset,2004,NULL
Before the Devil Knows You're Dead,2007,3.5
Being John Malkovich,1999,4
Ben-Hur,1959,NULL
Bicycle Thieves,1948,NULL
Big,1988,4
Big Hero 6,2014,3.5
Big Little Lies,2017,4
